FID,time,XCO2Dpp,XCH4Dpp,TempC,SPCScm,ChlARFU,ChlAgL,BGAPCRF,BGAPCL,TurbFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Pressps,NITRATEU,NITRATEM,ABS254,ABS350,TINT,TSPEC,TLAMP,Temp_ta,SPC_tau,pH_tau,fDOM_QS,ODO_tau,ChlA_ta,Turb_ta,CO2_tau,CH4uM,CH4Sat,CO2uM,CO2Sat,CO2uM_t,CO2St_t
0,10/2/2014 8:35,"1,790.80",170.294,16.218,334.8,1.33,5.37,-0.52,-0.49,3.04,25.58,78.76,60.7,5.96,7.66,-1.102,0,0,0,0,0,0,0,16.218,335.1,7.66,81.87,60.1,5.17,3.155,"1,790.59",0.289368312,"8,915.92",80.51476129,447.7,80.50531965,447.6475
1,10/2/2014 8:35,"1,789.84",170.365,16.218,334.9,1.35,5.42,-0.53,-0.49,3.04,25.64,78.97,60.7,5.95,7.66,-1.102,0,0,0,0,0,0,0,16.218,335,7.66,81.84,60.4,5.26,3.15,"1,792.45",0.289488957,"8,919.63",80.47159948,447.46,80.58894566,448.1125
2,10/2/2014 8:35,"1,792.99",170.639,16.218,334.8,1.34,5.39,-0.53,-0.5,3.06,25.72,79.2,60.7,5.95,7.66,-1.101,0,0,0,0,0,0,0,16.218,334.9,7.66,81.92,60.6,5.24,3.15,"1,795.49",0.289954546,"8,933.98",80.61322418,448.2475,80.72562472,448.8725
3,10/2/2014 8:35,"1,791.88",170.789,16.218,334.8,1.33,5.37,-0.52,-0.49,3.06,25.83,79.55,60.7,5.95,7.66,-1.101,0,0,0,0,0,0,0,16.217,334.9,7.66,81.72,60.6,5.15,3.165,"1,784.60",0.290215322,"8,941.83",80.56581795,447.97,80.23849739,446.15
4,10/2/2014 8:35,"1,794.14",170.451,16.218,334.9,1.34,5.38,-0.52,-0.49,3.06,25.91,79.79,60.7,5.95,7.66,-1.1,0,0,0,0,0,0,0,16.216,334.9,7.66,81.66,60.8,5.06,3.175,"1,765.62",0.289646852,"8,924.14",80.66993408,448.535,79.38758905,441.405
5,10/2/2014 8:35,"1,792.09",170.073,16.218,334.9,1.35,5.45,-0.52,-0.49,3.05,26.04,80.19,60.6,5.95,7.66,-1.099,0,0,0,0,0,0,0,16.216,334.9,7.66,81.64,61,5.06,3.16,"1,775.90",0.289004518,"8,904.35",80.57775991,448.0225,79.84980879,443.975
6,10/2/2014 8:35,"1,791.89",170.318,16.218,334.9,1.36,5.47,-0.53,-0.49,3.06,26.11,80.39,60.6,5.95,7.66,-1.099,22.55,0.32,0.64,0.3,19,19.8,20,16.216,334.9,7.66,81.68,61,5.17,3.14,"1,777.44",0.289420845,"8,917.17",80.56876731,447.9725,79.91905182,444.36
7,10/2/2014 8:35,"1,793.41",170.166,16.218,334.9,1.36,5.46,-0.53,-0.5,3.09,26.23,80.75,60.6,5.95,7.66,-1.098,0,0,0,0,0,0,0,16.217,334.9,7.66,81.88,60.9,5.3,3.095,"1,786.42",0.289156682,"8,909.21",80.63460922,448.3525,80.32032753,446.605
8,10/2/2014 8:35,"1,791.10",170.409,16.218,334.9,1.34,5.41,-0.52,-0.49,3.11,26.29,80.95,60.6,5.95,7.66,-1.098,0,0,0,0,0,0,0,16.216,334.9,7.66,81.94,60.7,5.37,3.08,"1,792.40",0.289575481,"8,921.94",80.53324653,447.775,80.59169844,448.1
9,10/2/2014 8:35,"1,792.70",170.762,16.218,334.9,1.34,5.38,-0.52,-0.49,3.12,26.33,81.08,60.6,5.95,7.66,-1.097,0,0,0,0,0,0,0,16.215,334.9,7.66,82.13,60.7,5.36,3.07,"1,793.85",0.290181225,"8,940.42",80.60768834,448.175,80.65939741,448.4625
