,co2,Cond,Latitude,Longitude,ODO % sat,ODO mg/L,Temp,fDOM QSU,fDOM RFU,pH
11/2/2014 0:45,1888.12307,54,-0.059770178,-51.15022791,90.48,6.834666667,30.0326,43.86366667,2.982,7
11/2/2014 0:45,1888.13713,54,-0.05979239,-51.1502699,90.49666667,6.836333333,30.03246667,43.86933333,2.984,7
11/2/2014 0:45,1888.16477,54,-0.059835054,-51.1503538,90.52666667,6.838333333,30.0322,43.892,2.991666667,7
11/2/2014 0:45,1888.17853,54,-0.059856763,-51.15039605,90.53666667,6.839333333,30.0321,43.91,2.997666667,7
11/2/2014 0:45,1888.1938,54,-0.05987864,-51.15043804,90.54666667,6.84,30.03196667,43.933,3.005333333,7
11/2/2014 0:45,1888.20974,54,-0.059900014,-51.15047978,90.55,6.840333333,30.03183333,43.961,3.014666667,7
11/2/2014 0:46,1888.51376,54,-0.060274852,-51.1511816,90.39,6.828333333,30.02936667,44.97366667,3.352,6.995666667
11/2/2014 0:46,1888.55869,54,-0.060317349,-51.15126383,90.34333333,6.825,30.0291,45.11333333,3.398666667,6.995
11/2/2014 0:46,1888.60949,54,-0.060361018,-51.15134563,90.29666667,6.821666667,30.0289,45.24233333,3.441333333,6.994333333
11/2/2014 0:46,1888.63259,54,-0.060383314,-51.1513867,90.27666667,6.82,30.0288,45.30066667,3.461,6.994
11/2/2014 0:46,1888.78353,54,-0.060518179,-51.15163229,90.21,6.814666667,30.02826667,45.55233333,3.544333333,6.992
11/2/2014 0:46,1888.8081,54,-0.060539721,-51.15167269,90.20666667,6.814666667,30.0282,45.578,3.552666667,6.991666667
11/2/2014 0:46,1888.89351,54,-0.060604764,-51.15179365,90.22,6.815666667,30.028,45.62466667,3.568,6.990666667
11/2/2014 0:46,1888.94977,54,-0.060650948,-51.15187495,90.23666667,6.816666667,30.0278,45.63066667,3.570333333,6.99
11/2/2014 0:46,1889.03666,54,-0.060719931,-51.15199691,90.26333333,6.818666667,30.0275,45.60566667,3.562,6.99
11/2/2014 0:46,1889.0699,54,-0.060742814,-51.15203731,90.27333333,6.819333333,30.0274,45.58866667,3.556333333,6.99
11/2/2014 0:46,1889.13601,54,-0.060808947,-51.15215926,90.29666667,6.821,30.02706667,45.53033333,3.537333333,6.99
11/2/2014 0:46,1889.26294,54,-0.060896957,-51.15232263,90.31666667,6.822666667,30.02656667,45.44533333,3.509333333,6.99
11/2/2014 0:46,1889.49347,54,-0.061049256,-51.1526139,90.35666667,6.826,30.02546667,45.286,3.455666667,6.99
11/2/2014 0:46,1889.52827,54,-0.061071301,-51.15265422,90.36,6.826333333,30.02526667,45.26333333,3.448,6.99
11/2/2014 0:47,1889.95016,54,-0.06134958,-51.15314364,90.36333333,6.827666667,30.0228,45.04866667,3.377,6.99
11/2/2014 0:47,1889.98721,54,-0.061372546,-51.15318538,90.36,6.827666667,30.02256667,45.03566667,3.372666667,6.99
11/2/2014 0:47,1890.09601,54,-0.061440105,-51.15331152,90.35333333,6.827333333,30.0219,44.99566667,3.359,6.99
11/2/2014 0:47,1890.20876,54,-0.061507663,-51.15343776,90.35333333,6.827333333,30.02123333,44.95433333,3.345,6.99
11/2/2014 0:47,1890.31979,54,-0.061572371,-51.15356449,90.35333333,6.827333333,30.02063333,44.90533333,3.328666667,6.99
11/2/2014 0:47,1890.44016,54,-0.061635906,-51.15369206,90.35,6.827333333,30.0201,44.84933333,3.31,6.99
11/2/2014 0:47,1890.4776,54,-0.061657866,-51.15373489,90.34666667,6.827333333,30.01996667,44.82933333,3.303333333,6.99
11/2/2014 0:47,1890.55904,54,-0.061701285,-51.15382039,90.33666667,6.826666667,30.0197,44.78733333,3.289333333,6.99
11/2/2014 0:47,1890.60153,54,-0.061723664,-51.15386222,90.33,6.826,30.01956667,44.76433333,3.281666667,6.99
11/2/2014 0:47,1892.09006,54,-0.062423218,-51.15515077,89.76666667,6.782333333,30.01843333,44.46333333,3.182666667,6.99
11/2/2014 0:48,1893.86018,54,-0.063040378,-51.15644778,89.63666667,6.773,30.0171,45.69566667,3.593,6.99
11/2/2014 0:48,1895.73623,54,-0.063586794,-51.15776257,89.47666667,6.761666667,30.0169,45.758,3.613666667,6.99
11/2/2014 0:49,1897.73256,54,-0.064044362,-51.15911759,89.06333333,6.729333333,30.01936667,45.754,3.611666667,6.980666667
11/2/2014 0:49,1899.89605,54,-0.064385924,-51.16050286,88.83666667,6.714,30.01773333,45.82133333,3.634333333,6.98
11/2/2014 0:50,1901.90207,54,-0.064654229,-51.16190323,88.74,6.706666667,30.0138,45.92633333,3.671,6.98
11/2/2014 0:50,1903.8221,54,-0.064753555,-51.16332614,89.21666667,6.742,30.01233333,45.908,3.664,6.98
11/2/2014 0:51,1906.475,54,-0.06480393,-51.16527661,88.97,6.723,30.015,45.85066667,3.645,6.98
11/2/2014 0:52,1908.41434,54,-0.064711561,-51.16669156,88.80666667,6.710666667,30.01553333,45.949,3.678333333,6.98
11/2/2014 0:52,1910.37589,54,-0.064432779,-51.1681086,89.23666667,6.743333333,30.01416667,45.708,3.597666667,6.98
11/2/2014 0:53,1912.29193,54,-0.064311242,-51.16932741,88.91,6.718333333,30.0135,45.809,3.632,6.98
11/2/2014 0:53,1914.25851,54,-0.064324988,-51.17043902,88.71,6.702333333,30.013,45.85133333,3.644666667,6.98
11/2/2014 0:54,1916.11477,54,-0.064405706,-51.17142172,88.69,6.704666667,30.0103,45.97866667,3.688666667,6.98
11/2/2014 0:54,1918.0852,54,-0.064608967,-51.17201281,89.15,6.737,30.0092,46.14233333,3.741,6.98
11/2/2014 0:55,1922.08332,54,-0.064997971,-51.17263625,89.02,6.728,30.0022,46.84233333,3.976,6.98
11/2/2014 0:56,1924.0703,54,-0.065216739,-51.17264832,89.11333333,6.736,29.9955,46.85733333,3.979333333,6.982
11/2/2014 0:56,1926.0289,54,-0.065358141,-51.17253232,89.70666667,6.782,29.99636667,46.833,3.972,6.98
11/2/2014 0:57,1928.10316,54,-0.065333834,-51.17253877,89.65,6.776666667,29.9965,46.80966667,3.965,6.98
11/2/2014 0:57,1930.0704,54,-0.065334002,-51.17251354,89.32333333,6.751333333,29.99376667,46.686,3.923,6.98
11/2/2014 0:58,1932.04997,54,-0.06527801,-51.17256534,89.37333333,6.756333333,29.9924,46.138,3.741333333,6.98
11/2/2014 0:58,1933.96852,54,-0.065267114,-51.17261379,89.13,6.737333333,29.9923,46.05666667,3.713,6.98
11/2/2014 0:59,1935.83346,54,-0.065379767,-51.17255319,89.08,6.733666667,29.994,45.577,3.553666667,6.980666667
11/2/2014 0:59,1937.77737,54,-0.06536887,-51.17255629,88.87,6.717333333,29.99336667,45.62,3.567,6.984333333
11/2/2014 1:00,1939.56239,54,-0.065188492,-51.1726956,89.58666667,6.772,29.9932,45.18633333,3.423,6.98
11/2/2014 1:00,1941.32394,54,-0.065107439,-51.17266081,89.28,6.748333333,29.99086667,45.12466667,3.402666667,6.98
11/2/2014 1:01,1943.01001,54,-0.064596646,-51.17301377,89.35,6.754,29.98886667,45.15333333,3.412,6.98
11/2/2014 1:01,1944.5806,54,-0.063768178,-51.17393503,89.68666667,6.78,29.98776667,45.34933333,3.477333333,6.98
11/2/2014 1:02,1946.07088,54,-0.063078851,-51.17499794,89.20666667,6.745333333,29.98613333,44.981,3.353666667,6.98
11/2/2014 1:02,1947.2206,54,-0.062545175,-51.17617526,89.55666667,6.771,29.9863,44.36666667,3.148666667,6.984
11/2/2014 1:03,1948.17333,54,-0.061918627,-51.17737412,89.54333333,6.768,29.98896667,44.133,3.071333333,6.99
11/2/2014 1:03,1948.71362,54,-0.061354525,-51.17857089,89.72,6.783333333,29.99446667,45.24333333,3.443,6.99
11/2/2014 1:04,1948.92866,54,-0.060851276,-51.17982977,89.56666667,6.77,29.99943333,47.07966667,4.053666667,6.983
11/2/2014 1:04,1948.71387,54,-0.06039815,-51.18109678,90.12666667,6.812,30.00006667,47.06966667,4.050333333,6.983333333
11/2/2014 1:05,1948.13901,54,-0.060004201,-51.18236915,89.85,6.791,29.9987,47.13933333,4.073666667,6.99
11/2/2014 1:05,1947.34621,54,-0.059716282,-51.18366625,90.47666667,6.839666667,30.0006,46.61366667,3.899666667,6.99
11/2/2014 1:06,1946.32861,54,-0.05946843,-51.18497718,91.10666667,6.887333333,29.99916667,45.894,3.659333333,6.99
11/2/2014 1:06,1945.12257,54,-0.059277574,-51.18630169,90.57,6.845666667,30.00173333,45.76633333,3.616333333,6.99
11/2/2014 1:07,1943.76875,54,-0.059138015,-51.18763508,91.71666667,6.931,30.00723333,46.53266667,3.871333333,6.99
11/2/2014 1:07,1942.40075,54,-0.059116306,-51.18902589,91.26,6.896333333,30.014,46.70866667,3.930666667,6.99
11/2/2014 1:08,1940.88385,54,-0.059183026,-51.19039566,90.73,6.855666667,30.02176667,46.83766667,3.974,6.99
11/2/2014 1:08,1939.24472,54,-0.059273718,-51.19177507,90.84666667,6.865333333,30.0279,46.71,3.931,6.99
11/2/2014 1:09,1937.43996,54,-0.05941445,-51.19313185,90.66,6.849666667,30.0317,46.54033333,3.873666667,6.99
11/2/2014 1:09,1935.64873,54,-0.059721898,-51.19442828,90.75333333,6.857,30.0341,45.53033333,3.537333333,6.990333333
11/2/2014 1:10,1933.73944,54,-0.060161278,-51.19575631,90.91333333,6.867,30.0369,45.533,3.538333333,7
11/2/2014 1:10,1931.72666,54,-0.060858484,-51.19701611,91.48666667,6.91,30.03566667,46.27666667,3.786333333,7
11/2/2014 1:11,1929.76714,54,-0.061665662,-51.19820156,90.97,6.871666667,30.03783333,46.02166667,3.701666667,7
