ltime,ltime,Latitude,Longitude,XCO2Dppm,XCH4Dppm,TempC,SpCondµScm,ChlARFU,ChlAµgL,BGAPCRFU,BGAPCµgL,TurbFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia,NITRATEUM,NITRATEMG,ABS254,ABS350,TINT,TSPEC,TLAMP,XCO2Dppm_tau,XCH4Dppm_tau,TempC_tau,SpCondµScm_tau,ChlARFU_tau,ChlAµgL_tau,BGAPCRFU_tau,BGAPCµgL_tau,TurbFNU_tau,fDOMRFU_tau,fDOMQSU_tau,ODOsat_tau,ODOmgL_tau,pH_tau,CH4uM,CH4Sat,CH4uM_tau,CH4Sat_tau,CO2uM,CO2Sat,CO2uM_tau,CO2Sat_tau
2015-08-04 08:56:59,2015-08-04 08:56:59,43.664824850900004,-91.2381975353,317.22900000000004,184.918,22.615,408.8,6.37,30.24,-1.48,1.55,8.13,20.87,80.74,97.6,8.42,8.7,3.923,55.23,0.77,0.42,0.17,11.1,16.2,13.4,328.39599999999996,204.074,22.6108,409.52,7.795,36.94,-1.5730000000000002,1.464,7.983,20.884,80.81,95.79,8.22963,8.69,0.276746649488193,9681.57068062827,0.305415350304749,10684.5026178011,11.8096680140001,79.30725,12.2253884012042,82.09899999999999
2015-08-04 08:57:11,2015-08-04 08:57:11,43.664824850900004,-91.2381975353,319.355,183.30700000000002,22.61,409.2,6.62,31.4,-1.54,1.48,7.91,20.89,80.84,96.7,8.35,8.69,3.88,55.06,0.77,0.42,0.17,11.1,16.2,13.4,326.35,208.153,22.6234,409.71,6.28,29.805,-1.666,1.371,7.939,20.892,80.848,94.91,8.16431,8.68,0.274268475187962,9597.22513089005,0.31144367599600703,10898.0628272251,11.884610343614499,79.83875,12.1449251949667,81.5875
2015-08-04 08:57:23,2015-08-04 08:57:23,43.6648235936,-91.2381789275,322.17,183.49400000000003,22.619,409.7,6.68,31.68,-1.63,1.39,7.97,20.89,80.83,95.4,8.24,8.68,3.873,55.15,0.77,0.42,0.17,11.1,16.2,13.4,328.5355,184.50900000000098,22.6306,408.56,5.78,27.485,-1.686,1.334,7.821000000000001,20.908,80.918,94.35,8.12165,8.67,0.274509859518364,9607.01570680628,0.276028315203081,9660.15706806286,11.986946801681302,80.5425,12.223787320246402,82.133875
2015-08-04 08:57:35,2015-08-04 08:57:35,43.6648235936,-91.2381789275,322.452,184.916,22.627,409.0,6.41,30.42,-1.67,1.36,7.6,20.91,80.93,94.7,8.17,8.67,3.866,55.03,0.77,0.42,0.17,11.1,16.2,13.4,324.1575,195.59,22.6352,410.23,5.745,27.315,-1.661,1.383,7.4910000000000005,20.944000000000003,81.044,94.16,8.126330000000001,8.66,0.276612467610643,9681.46596858639,0.29257950929051896,10240.3141361256,11.995890721805301,80.613,12.0593388989791,81.039375
2015-08-04 08:57:46,2015-08-04 08:57:46,43.6648235936,-91.2381789275,324.765,186.553,22.633000000000003,409.7,6.07,28.81,-1.65,1.38,7.46,20.94,81.04,94.3,8.14,8.66,3.867,55.07,0.77,0.42,0.17,11.0,16.2,13.4,319.268,189.042,22.6392,408.02,6.96,33.02,-1.6119999999999999,1.425,7.584,20.954,81.058,94.37,8.15734,8.66,0.27903953735403897,9767.172774869108,0.282762497630605,9897.48691099478,12.080583312697101,81.19125,11.876106332511801,79.817
2015-08-04 08:57:58,2015-08-04 08:57:58,43.6648235936,-91.2381789275,325.154,188.90099999999998,22.638,409.0,7.32,34.7,-1.61,1.42,7.59,20.95,81.05,94.3,8.14,8.66,3.8689999999999998,55.15,0.77,0.42,0.17,11.1,16.2,13.4,320.5155,191.52700000000002,22.639,411.43,7.75,36.73,-1.6680000000000001,1.355,7.6739999999999995,20.928,80.976,94.78,8.17734,8.66,0.28255269272553896,9890.10471204188,0.286480588136878,10027.5916230366,12.0951211731527,81.2885,11.922577641282698,80.128875
2015-08-04 08:58:10,2015-08-04 08:58:10,43.664815463100005,-91.23817356299999,324.902,189.002,22.64,410.3,7.64,36.2,-1.63,1.39,7.8,20.92,80.97,94.5,8.16,8.66,3.8710000000000004,54.82,0.77,0.43,0.18,11.1,16.2,13.3,319.188,188.345000000001,22.6346,409.17,7.95,37.72,-1.5219999999999998,1.501,7.9479999999999995,20.884,80.834,95.38,8.25835,8.67,0.28272793660150103,9895.39267015707,0.281745130840996,9860.99476439795,12.0872393458393,81.2255,11.874662982437,79.797
2015-08-04 08:58:22,2015-08-04 08:58:22,43.66477984,-91.23814808200001,322.926,189.86,22.636,410.0,6.85,32.5,-1.55,1.47,8.16,20.88,80.81,95.1,8.2,8.67,3.865,54.98,0.77,0.43,0.17,11.0,16.2,13.4,324.2005,145.898,22.6324,409.45,7.045,33.4,-1.4169999999999998,1.5959999999999999,8.37,20.866,80.72399999999999,95.81,8.28101,8.68,0.284023559497818,9940.31413612565,0.21825802846103798,7638.638743455491,12.0144683842333,80.7315,12.061886182601098,81.050125
2015-08-04 08:58:34,2015-08-04 08:58:34,43.6646758206,-91.238143472,320.712,190.005,22.631999999999998,409.3,6.42,30.49,-1.41,1.61,8.31,20.86,80.72,95.6,8.25,8.68,3.862,54.9,0.77,0.43,0.17,11.0,16.3,13.3,331.324,209.77900000000002,22.6382,410.36,7.84,37.15,-1.4769999999999999,1.5430000000000001,8.311,20.851999999999997,80.688,95.7,8.26,8.68,0.28420844206784,9947.9057591623,0.313786283353329,10983.1937172775,11.930154845613199,80.178,12.3249102748508,82.831
2015-08-04 08:58:46,2015-08-04 08:58:46,43.6647010501,-91.238223603,319.369,190.34,22.638,410.1,7.43,35.25,-1.44,1.58,8.37,20.85,80.67,95.7,8.26,8.68,3.85,55.08,0.77,0.42,0.17,10.9,16.2,13.3,324.695625,239.963,22.6486,409.43,7.955,37.715,-1.4580000000000002,1.5619999999999998,8.218,20.822,80.568,95.97,8.29734,8.68,0.284652007338183,9965.44502617801,0.35886282251178003,12563.5078534031,11.8767309081693,79.84225,12.0748180480411,81.17390625
