ltime,ltime,Latitude,Longitude,TempC,SpCondµScm,ChlARFU,ChlAµgL,BGAPCRFU,BGAPCµgL,TurbFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia,NITRATEUM,NITRATEMG,ABS254,ABS350,TINT,TSPEC,TLAMP,XCO2Dppm_tau,XCH4Dppm_tau,TempC_tau,SpCondµScm_tau,ChlARFU_tau,ChlAµgL_tau,BGAPCRFU_tau,BGAPCµgL_tau,TurbFNU_tau,fDOMRFU_tau,fDOMQSU_tau,ODOsat_tau,ODOmgL_tau,pH_tau,CH4uM_tau,CH4Sat_tau,CO2uM_tau,CO2Sat_tau
2015-08-04 08:56:00,2015-08-04 08:56:00,43.6648137,-91.23820147,22.647,408.2,7.13,33.82,-1.45,1.57,8.47,20.79,80.46,99.2,8.55,8.73,4.525,54.89,0.77,0.43,0.17,11.1,16.2,13.4,314.8745,178.375,22.6218,409.18,8.67,41.07,-1.555,1.465,8.213,20.83,80.612,97.25,8.31697,8.68,0.266897393,9339.005235999999,11.71839731,78.718625
2015-08-04 08:56:00,2015-08-04 08:56:00,43.66482485,-91.23819754,22.628,408.6,8.5,40.29,-1.53,1.49,8.13,20.84,80.66,97.6,8.42,8.71,4.148,55.09,0.77,0.43,0.17,11.1,16.2,13.4,324.0765,190.703,22.6092,408.73,5.595,26.58,-1.4680000000000002,1.5519999999999998,8.116,20.868000000000002,80.738,97.67,8.437339999999999,8.7,0.285413304,9984.450262,12.06512571,81.019125
2015-08-04 08:56:00,2015-08-04 08:56:00,43.66482485,-91.23819754,22.615,408.8,6.37,30.24,-1.48,1.55,8.13,20.87,80.74,97.6,8.42,8.7,3.923,55.23,0.77,0.42,0.17,11.1,16.2,13.4,328.39599999999996,204.074,22.6108,409.52,7.795,36.94,-1.5730000000000002,1.464,7.983,20.884,80.81,95.79,8.22963,8.69,0.30541535,10684.502620000001,12.2253884,82.09899999999999
2015-08-04 08:57:00,2015-08-04 08:57:00,43.66482485,-91.23819754,22.61,409.2,6.62,31.4,-1.54,1.48,7.91,20.89,80.84,96.7,8.35,8.69,3.88,55.06,0.77,0.42,0.17,11.1,16.2,13.4,326.35,208.153,22.6234,409.71,6.28,29.805,-1.666,1.371,7.939,20.892,80.848,94.91,8.16431,8.68,0.311443676,10898.062829999999,12.14492519,81.5875
2015-08-04 08:57:00,2015-08-04 08:57:00,43.66482359,-91.23817893,22.619,409.7,6.68,31.68,-1.63,1.39,7.97,20.89,80.83,95.4,8.24,8.68,3.873,55.15,0.77,0.42,0.17,11.1,16.2,13.4,328.5355,184.50900000000001,22.6306,408.56,5.78,27.485,-1.686,1.334,7.821000000000001,20.908,80.918,94.35,8.12165,8.67,0.276028315,9660.157068,12.22378732,82.133875
2015-08-04 08:57:00,2015-08-04 08:57:00,43.66482359,-91.23817893,22.627,409.0,6.41,30.42,-1.67,1.36,7.6,20.91,80.93,94.7,8.17,8.67,3.866,55.03,0.77,0.42,0.17,11.1,16.2,13.4,324.1575,195.59,22.6352,410.23,5.745,27.315,-1.661,1.383,7.4910000000000005,20.944000000000003,81.044,94.16,8.126330000000001,8.66,0.29257950899999996,10240.31414,12.0593389,81.039375
2015-08-04 08:57:00,2015-08-04 08:57:00,43.66482359,-91.23817893,22.633000000000003,409.7,6.07,28.81,-1.65,1.38,7.46,20.94,81.04,94.3,8.14,8.66,3.867,55.07,0.77,0.42,0.17,11.0,16.2,13.4,319.268,189.042,22.6392,408.02,6.96,33.02,-1.6119999999999999,1.425,7.584,20.954,81.058,94.37,8.15734,8.66,0.28276249800000003,9897.486911,11.87610633,79.817
2015-08-04 08:57:00,2015-08-04 08:57:00,43.66482359,-91.23817893,22.638,409.0,7.32,34.7,-1.61,1.42,7.59,20.95,81.05,94.3,8.14,8.66,3.8689999999999998,55.15,0.77,0.42,0.17,11.1,16.2,13.4,320.5155,191.52700000000002,22.639,411.43,7.75,36.73,-1.6680000000000001,1.355,7.6739999999999995,20.928,80.976,94.78,8.17734,8.66,0.286480588,10027.591620000001,11.92257764,80.128875
2015-08-04 08:58:00,2015-08-04 08:58:00,43.66481546,-91.23817356,22.64,410.3,7.64,36.2,-1.63,1.39,7.8,20.92,80.97,94.5,8.16,8.66,3.8710000000000004,54.82,0.77,0.43,0.18,11.1,16.2,13.3,319.188,188.345,22.6346,409.17,7.95,37.72,-1.5219999999999998,1.501,7.9479999999999995,20.884,80.834,95.38,8.25835,8.67,0.28174513100000004,9860.994764000001,11.87466298,79.797
2015-08-04 08:58:00,2015-08-04 08:58:00,43.66477984,-91.23814808,22.636,410.0,6.85,32.5,-1.55,1.47,8.16,20.88,80.81,95.1,8.2,8.67,3.865,54.98,0.77,0.43,0.17,11.0,16.2,13.4,324.2005,145.898,22.6324,409.45,7.045,33.4,-1.4169999999999998,1.5959999999999999,8.37,20.866,80.72399999999999,95.81,8.28101,8.68,0.21825802800000002,7638.638743,12.06188618,81.050125
2015-08-04 08:58:00,2015-08-04 08:58:00,43.66467582,-91.23814347,22.631999999999998,409.3,6.42,30.49,-1.41,1.61,8.31,20.86,80.72,95.6,8.25,8.68,3.862,54.9,0.77,0.43,0.17,11.0,16.3,13.3,331.324,209.77900000000002,22.6382,410.36,7.84,37.15,-1.4769999999999999,1.5430000000000001,8.311,20.851999999999997,80.688,95.7,8.26,8.68,0.313786283,10983.193720000001,12.32491027,82.831
2015-08-04 08:58:00,2015-08-04 08:58:00,43.66470105,-91.2382236,22.638,410.1,7.43,35.25,-1.44,1.58,8.37,20.85,80.67,95.7,8.26,8.68,3.85,55.08,0.77,0.42,0.17,10.9,16.2,13.3,324.695625,239.963,22.6486,409.43,7.955,37.715,-1.4580000000000002,1.5619999999999998,8.218,20.822,80.568,95.97,8.29734,8.68,0.358862823,12563.50785,12.07481805,81.17390625
2015-08-04 09:03:00,2015-08-04 09:03:00,43.66130395,-91.23918752,22.616,407.7,7.86,37.25,-1.02,1.98,8.81,21.11,81.66,107.0,9.24,8.79,4.327,55.18,0.77,0.42,0.17,10.9,16.4,13.4,292.124,163.0085,22.6294,406.72,5.275,25.055,-1.402,1.615,8.152000000000001,21.09,81.626,100.77,8.17485,8.71,0.24386892100000002,8534.47644,10.86939429,73.031
2015-08-04 09:03:00,2015-08-04 09:03:00,43.66110614,-91.23926908,22.621,407.3,5.98,28.41,-1.34,1.68,7.78,21.09,81.61,101.4,8.75,8.78,4.254,55.13,0.77,0.42,0.17,10.9,16.4,13.4,281.755,232.761,22.6574,409.26,6.425,30.495,-1.561,1.469,7.531000000000001,21.08,81.562,100.69,8.68266,8.71,0.348032778,12186.43979,10.4753511,70.43875
2015-08-04 09:03:00,2015-08-04 09:03:00,43.66075133,-91.23940478,22.65,408.5,6.16,29.26,-1.55,1.47,7.46,21.08,81.56,100.9,8.7,8.74,4.1930000000000005,55.21,0.77,0.42,0.17,10.9,16.4,13.5,285.8735,237.785,22.673000000000002,408.79,6.515,30.915,-1.679,1.337,7.3260000000000005,21.06,81.48,99.84,8.60165,8.72,0.35543711100000003,12449.47644,10.62382362,71.468375
2015-08-04 09:03:00,2015-08-04 09:03:00,43.66006393,-91.23943579,22.668000000000003,408.8,5.78,27.44,-1.65,1.38,7.3,21.05,81.47,100.4,8.66,8.72,4.176,55.11,0.77,0.42,0.17,10.9,16.4,13.5,259.2475,220.257,22.6818,407.58,6.285,29.835,-1.636,1.3869999999999998,7.226,21.028000000000002,81.33,98.37,8.40596,8.695,0.329180268,11531.7801,9.63195332,64.811875
2015-08-04 09:04:00,2015-08-04 09:04:00,43.65904662,-91.240104,22.679000000000002,407.8,6.2,29.43,-1.63,1.4,7.27,21.02,81.33,99.0,8.53,8.71,4.331,55.06,0.77,0.43,0.17,10.9,16.4,13.5,229.097,182.12099999999998,22.673000000000002,409.42,7.395,35.075,-1.405,1.615,7.6370000000000005,20.951999999999998,81.064,102.17,8.837069999999999,8.74,0.272231478,9535.13089,8.513857075,57.27425
2015-08-04 09:04:00,2015-08-04 09:04:00,43.65900395,-91.241902,22.675,409.0,7.01,33.27,-1.42,1.6,7.81,20.94,81.02,100.0,8.62,8.71,5.986000000000001,55.89,0.78,0.43,0.18,11.0,16.4,13.6,186.922,156.29,22.671999999999997,407.48,11.84,56.0,-1.0190000000000001,1.9909999999999999,8.101,20.85,80.678,117.58,10.33269,8.8,0.233624262,8182.722513,6.946716102999999,46.7305
2015-08-04 09:04:00,2015-08-04 09:04:00,43.66018312,-91.24282753,22.671999999999997,408.0,11.29,53.38,-1.11,1.9,8.37,20.84,80.65,106.4,9.17,8.74,6.316,61.94,0.87,0.43,0.18,11.0,16.4,13.6,199.762,159.297,22.9372,413.03,14.07,66.515,-0.114,2.858,8.827,20.43,79.094,142.96,12.24801,8.93,0.23689666199999998,8340.157068,7.3690073289999996,49.9405
2015-08-04 09:04:00,2015-08-04 09:04:00,43.66165356,-91.24399303,22.85,411.6,13.97,66.03,-0.24,2.74,9.2,20.38,78.88,129.1,11.1,8.8,8.129,61.88,0.87,0.44,0.19,11.0,16.5,13.6,204.7685,171.007,23.14,412.85,18.4,86.895,0.43,3.3760000000000003,9.665,19.882,76.94800000000001,140.93,12.18074,8.965,0.25331359800000003,8953.246073,7.511101096,51.192125
2015-08-04 09:04:00,2015-08-04 09:04:00,43.66279107,-91.24577235,23.143,412.1,13.67,64.6,0.32,3.28,10.05,19.88,76.94,139.6,11.93,8.89,8.344,61.43,0.86,0.44,0.2,11.1,16.5,13.7,207.9725,178.47400000000002,23.2078,415.98,13.68,64.64,0.414,3.3739999999999997,10.359000000000002,19.758,76.46,143.6,12.322389999999999,8.96,0.264027705,9344.188482,7.614250055,51.993125
2015-08-04 09:05:00,2015-08-04 09:05:00,43.663648200000004,-91.2478757,23.189,414.9,12.99,61.41,0.41,3.37,10.62,19.75,76.46,142.2,12.14,8.93,8.429,62.81,0.88,0.44,0.19,11.1,16.5,13.8,207.0735,196.27200000000002,23.2468,417.91,15.165,71.635,0.508,3.472,10.927,19.64,76.008,144.7,12.3967,8.94,0.29013832,10276.02094,7.573121048,51.768375
2015-08-04 09:05:00,2015-08-04 09:05:00,43.66424114,-91.25017695,23.241,417.2,14.44,68.23,0.5,3.45,10.99,19.62,75.97,144.0,12.29,8.94,8.533,62.19,0.87,0.44,0.2,11.1,16.5,13.8,204.128,191.546,23.309,420.0,13.69,64.67,0.5479999999999999,3.505,10.917,19.57,75.74,145.18,12.394680000000001,8.955,0.282811596,10028.58639,7.452510676,51.032
2015-08-04 09:05:00,2015-08-04 09:05:00,43.66451447,-91.252573,23.29,419.1,14.78,69.84,0.55,3.5,10.97,19.56,75.72,144.9,12.35,8.94,8.642000000000001,56.74,0.79,0.45,0.19,11.1,16.6,13.8,196.64,190.515,23.3078,419.6,15.255,72.04,0.649,3.5989999999999998,10.857999999999999,19.598,75.844,145.34,12.38367,8.95,0.281295886,9974.607329999999,7.179370417,49.16
2015-08-04 09:05:00,2015-08-04 09:05:00,43.6649044,-91.25492664,23.304000000000002,419.6,14.46,68.32,0.61,3.56,10.68,19.61,75.9,145.2,12.37,8.95,8.686,53.08,0.74,0.45,0.19,11.2,16.6,13.8,194.989,164.977,23.3062,418.07,15.58,73.585,0.631,3.574,10.692,19.798,76.628,144.68,12.34266,8.98,0.243596502,8637.539267,7.119408298,48.74725
2015-08-04 09:05:00,2015-08-04 09:05:00,43.66547504,-91.25725061,23.304000000000002,418.2,13.57,64.15,0.61,3.56,10.72,19.84,76.79,145.1,12.36,8.95,8.641,52.37,0.73,0.45,0.19,11.2,16.6,13.8,190.4865,178.80599999999998,23.2588,414.42,16.925,79.905,0.57,3.513,10.417,20.078,77.69800000000001,143.71,12.24165,8.99,0.264257905,9361.570681000001,6.96417632,47.621625
2015-08-04 09:06:00,2015-08-04 09:06:00,43.66645471,-91.25924986,23.272,415.8,16.62,78.5,0.55,3.5,10.37,20.1,77.78,144.2,12.3,8.96,8.59,52.89,0.74,0.45,0.19,11.2,16.6,13.8,197.108,159.375,23.2,415.13,15.28,72.185,0.506,3.463,10.269,20.204,78.188,143.77,12.24633,8.97,0.235808965,8344.240838,7.218046543,49.277
2015-08-04 09:06:00,2015-08-04 09:06:00,43.66797737,-91.26047102,23.217,414.7,13.74,64.94,0.5,3.46,10.13,20.2,78.19,143.7,12.26,8.97,8.543,54.13,0.76,0.45,0.2,11.2,16.6,13.8,195.6035,159.181,23.2668,413.38,17.335,81.845,0.6659999999999999,3.616,10.068,20.18,78.094,145.68,12.4467,8.97,0.23521764899999997,8334.083770000001,7.1496642360000005,48.900875
2015-08-04 09:06:00,2015-08-04 09:06:00,43.66966624,-91.26116982,23.252,414.1,16.11,76.1,0.59,3.54,10.2,20.16,78.02,144.7,12.34,8.97,8.529,55.92,0.78,0.45,0.2,11.2,16.6,13.8,195.172,173.94099999999997,23.3526,413.45,17.025,80.355,0.9229999999999999,3.859,10.466,20.04,77.568,146.73,12.51202,8.97,0.256601908,9106.858639,7.116918732,48.793
2015-08-04 09:06:00,2015-08-04 09:06:00,43.67135452,-91.26184909,23.326,413.3,18.71,88.34,0.84,3.78,10.54,20.04,77.55,146.1,12.44,8.97,8.507,57.77,0.81,0.45,0.19,11.2,16.6,13.8,196.5045,190.907,23.3682,415.95,14.28,67.48,0.9640000000000001,3.904,10.41,19.986,77.344,147.08,12.52101,8.97,0.281545616,9995.13089,7.1624078429999996,49.126125
2015-08-04 09:06:00,2015-08-04 09:06:00,43.67293124,-91.26249173,23.357,415.1,15.75,74.4,0.93,3.87,10.42,19.98,77.34,146.7,12.49,8.97,8.497,59.92,0.84,0.44,0.19,11.2,16.6,13.8,195.0215,176.489,23.3746,415.14,15.535,73.375,0.8009999999999999,3.741,10.374,19.9,77.05199999999999,147.58,12.58835,8.96,0.260250048,9240.261779999999,7.10709214,48.755375
2015-08-04 09:07:00,2015-08-04 09:07:00,43.67465029,-91.26324928,23.371,415.2,16.74,79.04,0.83,3.77,10.29,19.89,76.99,147.3,12.54,8.96,8.517000000000001,59.6,0.83,0.44,0.19,11.2,16.6,13.8,198.50799999999998,174.713,23.3756,416.94,14.195,67.07,0.759,3.7060000000000004,10.368,19.738,76.42399999999999,147.64,12.56367,8.96,0.257626184,9147.277487000001,7.233948657999999,49.626999999999995
2015-08-04 09:07:00,2015-08-04 09:07:00,43.67618233,-91.2645603,23.375,416.0,17.29,81.62,0.77,3.72,10.43,19.74,76.4,147.5,12.55,8.96,8.533999999999999,57.84,0.81,0.45,0.19,11.2,16.7,13.8,185.4205,152.042,23.3808,416.16,17.45,82.415,0.742,3.6889999999999996,10.519,19.727999999999998,76.368,148.04,12.62101,8.96,0.22417371600000002,7960.314136,6.756044857000001,46.355125
2015-08-04 09:07:00,2015-08-04 09:07:00,43.67767624,-91.26595329,23.379,416.7,14.27,67.43,0.75,3.7,10.49,19.73,76.38,147.9,12.58,8.96,8.578,54.77,0.77,0.45,0.19,11.2,16.6,13.8,184.8965,147.783,23.4066,417.26,16.54,78.145,0.617,3.574,10.418,19.858,76.862,148.99,12.67835,8.96,0.21778551300000001,7737.329843,6.7321346339999995,46.224125
2015-08-04 09:07:00,2015-08-04 09:07:00,43.67921323,-91.26726338,23.4,416.9,16.17,76.37,0.67,3.62,10.36,19.86,76.88,148.5,12.63,8.96,8.583,52.72,0.74,0.45,0.19,11.2,16.7,13.8,193.137,156.02200000000002,23.4348,415.62,17.47,82.475,0.6990000000000001,3.6489999999999996,10.04,19.977999999999998,77.328,149.86,12.775689999999999,8.97,0.22980191,8168.691099,7.02667963,48.28425
